"model_name","reps","nlevels","propagule_mean.mass","propagule_num","mean/meanlog/shape_mean","sd/sdlog/rate/scale_mean","mean/meanlog/shape_se","sd/sdlog/rate/scale_se","out_chiq","out_chiqpvalue","out_cvm","out_cvmtest","out_ks","out_kestest","out_aic","out_bic"
"gamma","2","40","69.875","32","2.64687880654245","0.037879694146199","0.623162579026908","0.00981148406667561","2.77713957778766","0.427276988507908","0.0559060613214963","not rejected","0.121561661537328","not rejected","326.612448428751","329.543920234351"
"lnorm","2","40","69.875","32","4.04601057362679","0.695747579985863","0.122991957962591","0.0869676390180106","1.68025813349663","0.641331746870535","0.0660134233955025","not computed","0.113770114427292","not rejected","330.539567997958","333.471039803557"
"weibull","2","40","69.875","32","1.82880838810868","78.7086911959458","0.257819866641743","8.01396885730865","3.93501036400551","0.26856789156617","0.0696867896114176","not rejected","0.117631028777358","not rejected","325.731630432161","328.66310223776"
"norm","2","40","69.875","32","69.875","39.664806504003","7.01181307360224","4.95810057275663","7.84103792732592","0.0494137908747259","0.143701285938391","not computed","0.160590448987059","not rejected","330.361781868251","333.293253673851"
"gamma","2","60","56.5581395348837","43","1.36258429986723","0.0240874489842743","0.264874366271776","0.00562735977935945","5.10681318037696","0.402984243639711","0.0501354412395575","not rejected","0.0723168181021774","not rejected","434.715589689956","438.237989921344"
"lnorm","2","60","56.5581395348837","43","3.6253848462237","1.03910452042899","0.158461953814813","0.112049055103792","3.82103869146462","0.575459018101024","0.0783229336894948","not computed","0.117497849854738","not rejected","441.110710791872","444.63311102326"
"weibull","2","60","56.5581395348837","43","1.21295549439209","60.3223344199837","0.144758573393336","7.99263645835692","5.76550918477847","0.329708668830591","0.0603211980286517","not rejected","0.0765606563936809","not rejected","434.652510982659","438.174911214046"
"norm","2","60","56.5581395348837","43","56.5581395348837","46.5119651150567","7.09300730849425","5.01551401507778","22.3439020536511","0.000450358897552928","0.359342315874816","not computed","0.181651913094796","not rejected","456.243738922054","459.766139153441"
"gamma","3","10","44.2857142857143","21","1.18525371157999","0.0267686700209137","0.326242237254639","0.00909640788901247","8.38297652305683","0.0151237600055764","0.206908048828302","rejected","0.237020295744065","not computed","204.844115848658","206.933160724105"
"lnorm","3","10","44.2857142857143","21","3.31292758293505","1.22291983473918","0.266862986273536","0.188700059448016","12.5267650510246","0.00190479188038698","0.279191437758598","not computed","0.279502832098126","not computed","211.190511751297","213.279556626744"
"weibull","3","10","44.2857142857143","21","1.23412344529024","46.9384343050204","0.235254616504339","8.65639140165929","9.04624744005556","0.0108550624774794","0.193507657657741","rejected","0.215358553429914","not computed","204.078417826338","206.167462701785"
"norm","3","10","44.2857142857143","21","44.2857142857143","29.6987138684856","6.48079106113674","4.58261113583289","3.34988070586917","0.187319352198398","0.0824964569344681","not computed","0.154523452588288","not computed","206.02177550734","208.110820382787"
"gamma","3","20","67.7777777777778","18","3.83501176345714","0.0565762929547099","1.22499482763364","0.0193026166853663","29.7420552853128","1.56368169638225e-06","0.118558219908956","not rejected","0.187587069786463","not computed","179.329503266342","181.110246782134"
"lnorm","3","20","67.7777777777778","18","4.08025751263359","0.576923113544233","0.135982081941295","0.0961525522626318","36.9654354970664","4.6795155235093e-08","0.156529188622246","not computed","0.186088502973848","not computed","182.169391806244","183.950135322036"
"weibull","3","20","67.7777777777778","18","2.4520757424581","76.3733941442457","0.480709693793663","7.68752984490769","23.1404378031564","3.77505280704479e-05","0.086500083712092","not rejected","0.182045448395255","not computed","177.144185544097","178.92492905989"
"norm","3","20","67.7777777777778","18","67.7777777777778","29.9231526034339","7.05295443044031","4.98719212550665","19.8996839247537","0.000178064633374168","0.07245886582891","not computed","0.173171396134865","not computed","177.432557746791","179.213301262584"
"gamma","3","40","62.3448275862069","29","2.70634347501306","0.0434090974641502","0.670396499792758","0.0118070435429986","2.90684039206859","0.573534523339864","0.0530643839872538","not rejected","0.147113126518158","not computed","289.289899668702","292.024491328675"
"lnorm","3","40","62.3448275862069","29","3.93675612066006","0.688198672381742","0.127795285200051","0.0903640541834428","1.80473040488759","0.771616783173504","0.0519938459052123","not computed","0.133379556847954","not computed","292.956982469378","295.691574129351"
"weibull","3","40","62.3448275862069","29","1.85007436353701","70.2792274275583","0.273992980136783","7.43234731265652","4.28317035448031","0.369037257505293","0.0733019019812667","not rejected","0.147528406473647","not computed","288.518589634965","291.253181294938"
"norm","3","40","62.3448275862069","29","62.3448275862069","35.0735934287429","6.51300237563771","4.60538849272109","8.77224559695656","0.0670513185159863","0.152658329481788","not computed","0.148785692643211","not computed","292.630449281139","295.365040941112"
"gamma","3","60","57","32","1.53271631577276","0.0268868891335703","0.348575429810783","0.00720523355777292","2.1041964424096","0.551064261101077","0.074397443399863","not rejected","0.11311759753997","not rejected","323.626568806545","326.558040612145"
"lnorm","3","60","57","32","3.6825892983556","1.02032041384189","0.180368870906243","0.127539500433842","4.72913769764685","0.19273993105801","0.200821439703979","not computed","0.172605529409564","not rejected","331.785250607687","334.716722413287"
"weibull","3","60","57","32","1.38865468825666","62.0896021225066","0.201351683979086","8.28013538426334","1.95870592531636","0.581021527157781","0.0451090076025778","not rejected","0.0864903963564808","not rejected","322.314418911899","325.245890717499"
"norm","3","60","57","32","57","38.7774096607806","6.85494113314726","4.84717576448357","0.921857113462091","0.820150236400975","0.0729210223334986","not computed","0.112973930335972","not rejected","328.913688642391","331.84516044799"
"gamma","4","10","64.3913043478261","23","2.12161918273908","0.0329472738410224","0.5818324872645","0.0101780775467246","3.820238614106","0.281540800642788","0.0949067076024322","not rejected","0.156062655232779","not computed","235.447357653403","237.718346085262"
